model,n,statistic,p_value,median_accuracy,median_confidence,mean_diff
Base Model,20,58.0,0.082550048828125,87.5,95.99125000000001,-15.661000000000005
Ensemble Model,19,67.0,0.2753410339355469,75.0,83.99600000000001,-4.918205513784464
MC-Dropout,20,105.0,1.0,80.0,80.41749999999999,-0.5474916666666679
