,q1_answer,q2_answer,q3_answer,q4_answer,q5_answer
Agree,43.0,113.0,155,158,109
Can't answer,0.0,0.0,39,42,29
Disagree,46.0,61.0,108,119,155
Neutral,3.0,23.0,62,50,62
None,64.0,64.0,64,64,67
Strongly agree,440.0,338.0,199,189,60
Strongly disagree,98.0,95.0,67,72,212
